COUNTRY,ISO,CONTINENT,YEAR,SOLAR ENERGY (TWh),SOLAR ENERGY %,WIND ENERGY (TWh),WIND ENERGY %,HYDRO ENERGY (TWh),HYDRO ENERGY %,RENEWABLE ENERGY %,RENEWABLE PER CAPITA (KWh),OTHERS RENEWABLE ENERGIES (TWh),GDP PER CAPITA(2020)
Algeria,DZA,AFRICA,1990,0.0,0.0,0.0,0.0,0.135,0.119,0.119,0.0154973239898681,0.0,9.342
Algeria,DZA,AFRICA,1991,0.0,0.0,0.0,0.0,0.293,0.261,0.261,0.032817512512207,0.0,9.342
Algeria,DZA,AFRICA,1992,0.0,0.0,0.0,0.0,0.199,0.173,0.173,0.0217712612152099,0.0,9.342
Algeria,DZA,AFRICA,1993,0.0,0.0,0.0,0.0,0.353,0.329,0.329,0.0377708549499511,0.0,9.342
Algeria,DZA,AFRICA,1994,0.0,0.0,0.0,0.0,0.166,0.153,0.153,0.017397891998291,0.0,9.342
Algeria,DZA,AFRICA,1995,0.0,0.0,0.0,0.0,0.193,0.171,0.171,0.0198450183868408,0.0,9.342
Algeria,DZA,AFRICA,1996,0.0,0.0,0.0,0.0,0.135,0.121,0.121,0.0136399898529052,0.0,9.342
Algeria,DZA,AFRICA,1997,0.0,0.0,0.0,0.0,0.075,0.07,0.07,0.007456353187561,0.0,9.342
Algeria,DZA,AFRICA,1998,0.0,0.0,0.0,0.0,0.215,0.194,0.194,0.0210564727783203,0.0,9.342
Algeria,DZA,AFRICA,1999,0.0,0.0,0.0,0.0,0.203,0.181,0.181,0.0196016368865966,0.0,9.342
Algeria,DZA,AFRICA,2000,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0051438784599304,0.0,9.342
Algeria,DZA,AFRICA,2001,0.0,0.0,0.0,0.0,0.07,0.061,0.061,0.0064450793266296,0.0,9.342
Algeria,DZA,AFRICA,2002,0.0,0.0,0.0,0.0,0.06,0.049,0.049,0.0052228231430053,0.0,9.342
Algeria,DZA,AFRICA,2003,0.0,0.0,0.0,0.0,0.26,0.214,0.214,0.0238200149536132,0.0,9.342
Algeria,DZA,AFRICA,2004,0.0,0.0,0.0,0.0,0.25,0.194,0.194,0.0221244144439697,0.0,9.342
Algeria,DZA,AFRICA,2005,0.0,0.0,0.0,0.0,0.55,0.408,0.408,0.0479658241271972,0.0,9.342
Algeria,DZA,AFRICA,2006,0.0,0.0,0.0,0.0,0.22,0.153,0.153,0.0184049186706543,0.0,9.342
Algeria,DZA,AFRICA,2007,0.0,0.0,0.0,0.0,0.22,0.15,0.15,0.0187035064697265,0.0,9.342
Algeria,DZA,AFRICA,2008,0.0,0.0,0.0,0.0,0.28,0.176,0.176,0.0228975677490234,0.0,9.342
Algeria,DZA,AFRICA,2009,0.0,0.0,0.0,0.0,0.3,0.2,0.2,0.0270309238433837,0.0,9.342
Algeria,DZA,AFRICA,2010,0.0,0.005,0.0,0.0,0.17,0.103,0.108,0.014048391342163,0.0,9.342
Algeria,DZA,AFRICA,2011,0.0,0.01,0.0,0.0,0.5,0.211,0.221,0.0298066501617431,0.0,9.342
Algeria,DZA,AFRICA,2012,0.0,0.014,0.0,0.0,0.62,0.197,0.211,0.0304913482666015,0.0,9.342
Algeria,DZA,AFRICA,2013,0.0,0.014,0.0,0.0,0.33,0.047,0.061,0.0091180410385131,0.0,9.342
Algeria,DZA,AFRICA,2014,0.0,0.026,0.0,0.0,0.25,0.084,0.11,0.0176784381866455,0.0,9.342
Algeria,DZA,AFRICA,2015,0.06,0.024,0.02,0.008,0.14,0.059,0.091,0.0150483217239379,0.0,9.342
Algeria,DZA,AFRICA,2016,0.09,0.1,0.03,0.008,0.22,0.029,0.137,0.0221847782135009,0.0,9.342
Algeria,DZA,AFRICA,2017,0.57,0.202,0.01,0.008,0.06,0.022,0.232,0.0372292251586914,0.0,9.342
Algeria,DZA,AFRICA,2018,0.65,0.223,0.01,0.004,0.12,0.043,0.27,0.045736213684082,0.0,9.342
Algeria,DZA,AFRICA,2019,0.68,0.219,0.01,0.004,0.15,0.054,0.277,0.0475727424621582,0.0,9.342
Algeria,DZA,AFRICA,2020,0.68,0.232,0.01,0.003,0.09,0.019,0.254,0.0444571838378906,0.0,9.342
