ENTITY,ISO,YEAR,RENEWABLE ENERGY %,RENEWABLE ENERGY TWh
World,WRL,1965,6.064,17.985
World,WRL,1966,6.138,19.806
World,WRL,1967,6.046,19.987
World,WRL,1968,6.01,22.12
World,WRL,1969,5.964,23.258
World,WRL,1970,5.878,25.693
World,WRL,1971,5.905,27.879
World,WRL,1972,5.869,29.877
World,WRL,1973,5.632,32.085
World,WRL,1974,6.146,33.959
World,WRL,1975,6.191,34.484
World,WRL,1976,5.869,38.461
World,WRL,1977,5.855,40.563
World,WRL,1978,6.089,42.967
World,WRL,1979,6.183,46.169
World,WRL,1980,6.375,49.385
World,WRL,1981,6.551,53.155
World,WRL,1982,6.733,61.371
World,WRL,1983,6.925,68.018
World,WRL,1984,6.855,76.009
World,WRL,1985,6.813,77.792
World,WRL,1986,6.775,85.579
World,WRL,1987,6.65,91.643
World,WRL,1988,6.611,94.281
World,WRL,1989,6.49,104.348
World,WRL,1990,6.77,117.003
World,WRL,1991,6.89,122.019
World,WRL,1992,6.869,130.972
World,WRL,1993,7.216,135.306
World,WRL,1994,7.195,140.426
World,WRL,1995,7.421,146.362
World,WRL,1996,7.317,150.566
World,WRL,1997,7.407,161.287
World,WRL,1998,7.453,168.762
World,WRL,1999,7.409,177.393
World,WRL,2000,7.392,216.98
World,WRL,2001,7.133,210.89
World,WRL,2002,7.146,225.23
World,WRL,2003,6.917,238.93
World,WRL,2004,7.091,256.84
World,WRL,2005,7.144,280.74
World,WRL,2006,7.274,297.06
World,WRL,2007,7.306,321.12
World,WRL,2008,7.778,336.83
World,WRL,2009,8.067,364.06
World,WRL,2010,8.287,408.99
World,WRL,2011,8.451,430.05
World,WRL,2012,8.854,459.53
World,WRL,2013,9.238,496.04
World,WRL,2014,9.586,535.87
World,WRL,2015,9.823,568.05
World,WRL,2016,10.239,581.32
World,WRL,2017,10.618,608.88
World,WRL,2018,10.978,654.58
World,WRL,2019,11.437,688.92
World,WRL,2020,12.553,712.9
